"Gene"	"X3UTR"	"X5UTR"	"CDS"	"promCore"
"CEP78"	0.920713781983972	0.348371962504456	0.163214429364352	0.844514386515497
"CERS6"	0.857304022064115	0.43450065030525	0.851262909548294	0.956381493404168
"CES1"	NA	0.235442933879704	0.597027839862978	0.224095362651736
"CES2"	0.47071934969614	0.442852277331766	0.933444230681002	0.870745137164639
"CFB"	NA	0.25425680856448	0.879747974098307	0.885485461576632
"CFC1"	NA	0.43390157774073	0.891393238223502	1
"CFH"	0.0146754806416523	0.27022471063738	0.485744598152824	0.906303403236724
"CFHR4"	0.91023590580587	0.46131146608754	0.562784315860977	0.805193467894069
"CFI"	0.993887998603298	0.474886138071138	0.571173752990633	0.739935608364678
"CFP"	NA	0.4803876855849	0.696853939547012	0.805654531511083
"CFTR"	0.117622244875514	0.419429059278877	0.675719624809183	0.781228035903361
"CGB8"	NA	0.110692450130678	0.979755448994617	0.414904745992464
"CHAC2"	0.562178680073265	0.465999343154586	0.54234140121699	0.742920987192048
"CHAT"	NA	0.342564187066735	0.649449144003597	0.474583703359187
"CHCHD1"	0.562774112174082	0.214584236693653	0.984727249534127	0.152968521766165
"CHEK2"	NA	0.250173409970778	0.795885790990047	0.942473933512871
"CHM"	0.933376341943667	0.268706652651216	0.646535621439408	0.443404838230227
"CHMP2A"	NA	0.209545060459253	0.919724939774871	0.591278428337516
"CHMP4B"	0.764349555295382	0.0158819384948039	0.764622242152595	0.000180696831133757
"CHMP7"	0.731827257216109	0.449300192063012	0.712437586414412	0.614191601221556
"CHP1"	0.801646032731629	0.458001963600736	0.352561495139274	0.0420579052857951
"CHPF2"	0.688274485309126	0.0822237034919085	0.5891154165179	0.607450902699581
"CHRDL1"	0.821016864378831	0.0354854033721966	0.463939385078582	0.0261537472703897
"CHRM2"	0.541542055564062	0.232620225755098	0.895713378776783	0.0479665571263206
"CHRNA2"	0.940302345599513	0.277161976479338	0.877204579447317	0.839856608723901
"CHRNA6"	0.806863304821383	0.38909488715163	0.618021540217313	0.662580350146802
"CHRNB4"	0.512564823264043	0.494875665614402	0.0625375333469828	0.929794099235771
"CHST12"	0.756374253790237	0.0153455692152018	0.791554114365736	0.843863196449415
"CHSY3"	0.0354851280650434	0.443167758336905	0.764339950690143	0.682057200606912
"CHURC1-FNTB"	NA	NA	0.61864537041264	0.838816928670618
"CITED2"	0.0484410499099143	0.152830373167515	0.491655949854423	0.127935892156288
"CKAP4"	0.076973975505293	0.301684247412182	0.785891086728709	0.310468817746382
"CLCN7"	0.926670999142064	0.485491727135044	0.687318199121391	0.967910764219355
"CLDN10"	0.771824307832933	0.067297369404097	0.787959171354299	0.0316554909977493
"CLDN11"	0.318484991130799	0.298700552807019	0.912747234314992	0.65844804968912
"CLDN4"	0.80260281521242	0.0270344296625276	0.51344564238887	0.0485937866361605
"CLEC10A"	0.606301791839809	0.421451897497205	0.822026138307354	0.850530022314424
"CLEC4E"	0.0614376372746302	0.255892530745607	0.889312587539852	0.327178832699075
"CLEC4G"	0.302616921646095	0.410950698118292	0.941340596120315	0.437322924394688
"CLPS"	NA	0.494038155468773	0.988507729468227	0.367007007104223
"CLTB"	NA	0.382331601301199	0.657416193365658	0.451293419623645
"CLTC"	0.0645772471547446	0.0320063934663883	0.0934709769618234	0.253961123062156
"CLVS1"	0.559278735060879	0.102108862973189	0.171202422247944	0.0687189326858138
"CNIH2"	0.504523427691449	0.445568479936856	0.157009183721131	1
"CNKSR1"	0.947813670650125	0.262770796498633	0.354937876220315	0.746838521933285
"CNKSR2"	0.126142351927116	0.474487661162531	0.91967174632888	0.658852897941028
"CNOT11"	0.0421180042862309	0.457122367631365	0.571836291670671	0.68158795122551
"CNOT4"	0.828822852947758	0.056729842732913	0.391191245651364	0.0460301514470536
"CNOT6L"	0.470059107069391	0.189322332778513	0.155964200606503	0.395010954579911
"CNTN6"	0.0893586213890707	0.286127064617434	0.4409927000206	0.80063414312534
"CNTNAP1"	0.687585743538756	0.109252482526347	0.369690494579238	0.0203079125822125
"COL14A1"	0.68973858617306	0.395540758817536	0.72035777608716	0.921775138247694
"COL18A1"	0.0271912020846004	0.399069693074774	0.867108632924004	0.821947080097777
"COL4A1"	0.0865329674036244	0.323050671870357	0.672537186830182	0.00199248599520341
"COL4A2"	0.413444396536561	0.05252752910968	0.539868942286365	0.021918069232687
"COL6A1"	0.98264252652255	0.12882348053319	0.700618617878972	0.365230291637103
"COL7A1"	0.344012835449318	0.456090129727699	0.37168201423151	0.881638026745891
"COL8A1"	0.309227370434609	0.489209853092448	0.456806879174641	0.905811476166848
"COL9A1"	0.827992191667883	0.406540655133021	0.587415471822641	0.933905412363066
"COL9A2"	0.596656807549489	0.478467006290232	0.778804610465873	0.799878038852837
"COMT"	0.998892429990743	0.327759649800511	0.719103992569506	0.548024968231763
